smp	clone	patient
K021_R1	K021-C7	K021
K021_R5	K021-C4	K021
K023_R4	K023-C3	K023
K023_R2	K023-C2	K023
K029_R1	K029-C23	K029
K029_R10	K029-C22	K029
K029_R9	K029-C2	K029
K032_R3	K032-C2	K032
K059_R13	K059-C6	K059
K059_R4	K059-C5	K059
K059_R9	K059-C7	K059
K064_R1	K064-C1	K064
K065_R5	K065-C1	K065
K065_R8	K065-C1	K065
K066_R1	K066-C15	K066
K066_R3	K066-C12	K066
K066_R7	K066-C13	K066
K071_R1	K071-C8	K071
K071_R10	K071-C12	K071
K071_R12	K071-C9	K071
K071_R5	K071-C7	K071
K071_R9	K071-C11	K071
K079_R2	K079-C1	K079
K096_R14	K096-C3	K096
K096_R7	K096-C12	K096
K096_R9	K096-C9	K096
K098_R1	K098-C13	K098
K098_R2	K098-C14	K098
K098_R3	K098-C15	K098
K098_R5	K098-C6	K098
K099_R1	K099-C3	K099
K099_R3	K099-C2	K099
K099_R6	K099-C2	K099
K104_R2	K104-C4	K104
K104_R3	K104-C2	K104
K105_R3	K105-C1	K105
K107_R1	K107-C13	K107
K107_R7	K107-C12	K107
K118_R2	K118-C1	K118
K119_R2	K119-C2	K119
K119_R4	K119-C3	K119
K128_R65	K128-C1	K128
K128_R73	K128-C20	K128
K128_R11	K128-C25	K128
K135_R4	K135-C2	K135
K136_R2	K136-C2	K136
K136_R5	K136-C3	K136
K143_R1	K143-C1	K143
K143_R2	K143-C4	K143
K145_R5	K145-C1	K145
K145_R2	K145-C2	K145
K153_R26	K153-C4	K153
K153_R4	K153-C4	K153
K153_R54	K153-C9	K153
K153_R55	K153-C20	K153
K153_R58	K153-C19	K153
K153_R59	K153-C4	K153
K158_R2	K158-C4	K158
K158_R4	K158-C5	K158
K162_R2	K162-C4	K162
K162_R6	K162-C5	K162
K163_R4	K163-C18	K163
K163_R10	K163-C21	K163
K163_R31	K163-C4	K163
K165_R7	K165-C24	K165
K165_R19	K165-C34	K165
K165_R32	K165-C31	K165
K167_R12	K167-C8	K167
K167_R3	K167-C6	K167
K167_R7	K167-C9	K167
K169_R10	K169-C14	K169
K169_R2	K169-C17	K169
K169_R8	K169-C18	K169
K176_R6	K176-C2	K176
K177_R2	K177-C2	K177
K180_R31	K180-C2	K180
K182_R3	K182-C1	K182
K184_R2	K184-C2	K184
K191_R1	K191-C1	K191
K191_R3	K191-C12	K191
K191_R7	K191-C13	K191
K191_R8	K191-C14	K191
K206_M2	K206-C1	K206
K206_R5	K206-C4	K206
K206_R7	K206-C9	K206
K206_R9	K206-C8	K206
K207_R1	K207-C6	K207
K207_R4	K207-C3	K207
K207_R6	K207-C1	K207
K207_R7	K207-C5	K207
K207_T1	K207-C1	K207
K208_R1	K208-C2	K208
K208_R5	K208-C1	K208
K216_R3	K216-C2	K216
K216_R5	K216-C3	K216
K220_R7	K220-C10	K220
K220_R14	K220-C12	K220
K220_R11	K220-C17	K220
K222_R2	K222-C2	K222
K228_R3	K228-C8	K228
K228_R6	K228-C3	K228
K228_R9	K228-C1	K228
K229_LN4	K229-C3	K229
K229_R3	K229-C5	K229
K234_R17	K234-C11	K234
K234_R2	K234-C5	K234
K234_R4	K234-C17	K234
K234_THR1	K234-C11	K234
K239_R2	K239-C7	K239
K239_R3	K239-C6	K239
K239_R4	K239-C3	K239
K239_T1	K239-C8	K239
K242_R4	K242-C1	K242
K242_R10	K242-C2	K242
K243_R1	K243-C31	K243
K243_R12	K243-C38	K243
K243_R13	K243-C41	K243
K243_R15	K243-C16	K243
K243_R20	K243-C33	K243
K243_R21	K243-C22	K243
K243_R23	K243-C39	K243
K243_R24	K243-C3	K243
K243_R3	K243-C34	K243
K243_R5	K243-C40	K243
K243_R6	K243-C35	K243
K243_R7	K243-C36	K243
K243_THR2	K243-C23	K243
K245_R14	K245-C2	K245
K245_R9	K245-C1	K245
K245_THR1	K245-C5	K245
K245_THR4	K245-C4	K245
K250_R2	K250-C4	K250
K253_R10	K253-C1	K253
K253_R7	K253-C1	K253
K255_R12	K255-C2	K255
K255_R3	K255-C9	K255
K255_R7	K255-C2	K255
K255_THR1	K255-C2	K255
K263_R6	K263-C8	K263
K265_R1	K265-C1	K265
K265_R5	K265-C4	K265
K265_R7	K265-C3	K265
K276_R14	K276-C6	K276
K276_R18	K276-C12	K276
K276_THR1	K276-C1	K276
K280_M11	K280-C2	K280
K280_R17	K280-C7	K280
K308_R1	K308-C5	K308
K308_R4	K308-C3	K308
K308_R3	K308-C4	K308
K323_R1	K323-C1	K323
K326_CB1	K326-C9	K326
K326_R4	K326-C13	K326
K328_R1	K328-C5	K328
K328_R13	K328-C1	K328
K328_R16	K328-C10	K328
K328_R18	K328-C18	K328
K328_R19	K328-C20	K328
K328_THR1	K328-C5	K328
K334_R6	K334-C3	K334
K334_R11	K334-C1	K334
K354_R5	K354-C3	K354
K357_R3	K357-C1	K357
K357_R7	K357-C1	K357
K360_R1	K360-C19	K360
K360_R5	K360-C24	K360
K376_M2	K376-C1	K376
K376_M5	K376-C1	K376
K376_R3	K376-C1	K376
K376_R9	K376-C1	K376
K379_R18	K379-C1	K379
K379_R19	K379-C8	K379
K379_R27	K379-C5	K379
K379_R29	K379-C7	K379
K386_R31	K386-C16	K386
K386_R4	K386-C5	K386
K386_R64	K386-C11	K386
K386_R67	K386-C17	K386
K386_R79	K386-C5	K386
K390_LN3	K390-C8	K390
K390_R14	K390-C3	K390
K390_R15	K390-C1	K390
K390_R18	K390-C3	K390
K390_R19	K390-C4	K390
K390_THR2	K390-C3	K390
K427_M10	K427-C5	K427
K427_R19	K427-C5	K427
K427_R9	K427-C37	K427
K427_THR3	K427-C36	K427
K444_R1	K444-C1	K444
K444_R5	K444-C1	K444
K444_R8	K444-C1	K444
K446_R14	K446-C25	K446
K446_R22	K446-C27	K446
K446_R24	K446-C34	K446
K446_R9	K446-C35	K446
K448_R5	K448-C27	K448
K448_R12	K448-C37	K448
K448_R49	K448-C38	K448
K463_R1	K463-C31	K463
K520_R9	K520-C2	K520
